pred-AvgCO2,pred-EUI
1383,84
1382,84
1383,84
1440,88
1383,84
1283,78
1249,75
1092,64
1371,83
1370,83
1373,83
1431,87
1359,82
1262,77
1085,65
1439,88
1383,84
1281,78
1118,66
1082,64
1057,63
1368,83
1367,83
1242,75
1283,77
1236,74
1024,60
1160,69
1046,62
1221,73
1219,73
1183,70
1048,62
1024,60
1165,69
1077,63
1373,83
1361,82
1216,73
1121,67
1092,65
1021,60
1374,83
1373,83
1374,83
1424,86
1374,83
1280,78
1279,76
1094,65
1368,82
1368,82
1369,82
1355,82
1271,77
1327,79
1085,65
1423,86
1374,83
1278,78
1124,66
1088,64
1067,63
1069,63
1376,83
1243,75
1121,67
1368,82
1167,70
1185,71
1066,63
1223,73
1038,61
1227,73
1176,70
1178,70
1237,74
1066,63
1289,78
1242,74
1163,69
1088,64
1059,62
1037,61
1407,85
1402,84
1414,85
1464,88
1400,84
1323,80
1324,79
1142,68
1415,85
1411,85
1420,85
1404,84
1329,80
1366,82
1136,68
1456,88
1394,84
1316,79
1162,69
1132,67
1105,66
1292,77
1216,72
1232,73
1131,67
1418,85
1334,80
1347,81
1146,68
1286,76
1094,64
1283,76
1286,76
1181,70
1292,77
1099,65
1260,75
1274,76
1315,79
1162,69
1133,67
1132,67
1468,89
1460,89
1475,90
1527,94
1458,89
1375,83
1359,82
1191,72
1447,87
1443,87
1451,87
1434,86
1352,81
1400,84
1179,71
1522,93
1450,88
1367,83
1206,73
1180,71
1151,70
1239,74
1309,78
1144,68
1305,78
1440,86
1352,81
1369,82
1180,71
1378,82
1304,77
1312,78
1304,77
1255,74
1248,74
1116,66
1479,89
1421,85
1305,78
1180,70
1118,66
1093,64
1358,81
1287,77
1214,72
1158,68
1126,66
1102,65
1264,76
1215,72
1320,79
1374,82
1138,67
1128,67
1280,77
1239,74
1161,70
1072,63
1048,62
1026,60
1341,81
1252,75
1243,74
1095,63
1066,62
1055,61
1334,80
1245,74
1236,73
1255,74
1270,75
1095,64
1373,81
1269,75
1103,64
